id,occurrenceID,scientificName,species,vernacularName,eventDate,decimalLatitude,decimalLongitude,datasetName,basisOfRecord,individualCount,coordinateUncertaintyInMeters,depth,sst
000001d7-2073-4499-b42b-cb78baac6c88,359159,Megaptera novaeangliae,Megaptera novaeangliae,Humpback whale,2019-12-22T09:35:06,20.87,-156.7,Happywhale - Humpback whale in North Pacific Ocean,HumanObservation,1,111319.49,,
000004bb-26a2-4602-8c85-b58c4c8d8a9f,SWF_13_208663_1,Balaenoptera acutorostrata,Balaenoptera acutorostrata,Minke whale,2012-05-01T00:00:00,59.821533,-1.2769,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present,HumanObservation,,,0,
0000052c-a485-467e-ab02-3d752c4f35ba,SWF_13_173967_1,Phocoena phocoena,Phocoena phocoena,Harbour porpoise,2006-07-16T20:10:00,54.85,-5.72,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present,HumanObservation,,,0,
00000593-d9be-44a4-a72b-bf4f19542a1a,563_5273,Tursiops truncatus,Tursiops truncatus,Common bottlenose dolphin,2007-12-12T10:39:00,27.1738,-82.4993,Sarasota Dolphin Research Program Bottlenose Sightings 1971-2009,HumanObservation,4,,,
00000925-7b9a-4d9e-b9e8-c9c19c651458,WA 07 - 220,Megaptera novaeangliae,Megaptera novaeangliae,,,-22.066,114.1753,,humanObservation,,,,
00000972-6322-4dba-85c4-aae3750918db,2324_59591,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2020-12-06T03:33:02,22.528256,-159.896219,Fin whales localized acoustic detections in Hawaiian waters 2017-2023,MachineObservation,,,,
00000ab5-36a2-404e-aa8c-de5e49ce44fa,32026,Balaenoptera acutorostrata,Balaenoptera acutorostrata,WHALE-MINKE,8/23/1998,44.343666,-66.330166,,HumanObservation,,,,
00000abd-a67b-4fd0-bc1e-95a6dadc3d7b,110000810_110000810_110030717_1100239297,Phocoena phocoena,Phocoena phocoena,,2011-03-22T10:59:00+00:00,51.4563,2.7794,European Seabirds At Sea (ESAS),HumanObservation,3.0,,,
00000d75-e461-4e90-b3ad-9ec92ec0da30,54040,Megaptera novaeangliae,Megaptera novaeangliae,Humpback,1958-05-30,-42,175,,HumanObservation,,10000,0,
00000e20-1e69-4620-94bd-bfbbcfacdc6b,1404_125859,Phocoena phocoena,Phocoena phocoena,Harbor porpoise,2018-05-04,1.991593,51.298868,Observatoire Pelagis aerial surveys 2002-2021,HumanObservation,,,,
0000164a-3fa7-4326-8d0c-6201bbeb5d59,2073_63219,Tursiops truncatus,Tursiops truncatus,Common bottlenose dolphin,2019-04-29T07:57:58,39.0574,-72.8356,Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2018,HumanObservation,1,11.13,,
000029c1-1f63-4ccc-a2f8-309ac9a1802b,2190_18472,Balaenoptera acutorostrata,Balaenoptera acutorostrata,Common minke whale,2014-02-05T02:46:29,22.681091,-160.060436,Minke whale localized acoustic detections off Kauai,MachineObservation,,,,
000029c5-eec8-40ff-bb5c-1a73f7a08af3,2324_127231,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2023-01-09T14:32:55,22.545381,-160.022375,Fin whales localized acoustic detections in Hawaiian waters 2017-2023,MachineObservation,,,,
00002dbe-d075-4819-a589-ec79068ea79c,TAXA-19041,Phocoena phocoena,Phocoena phocoena,,2021-06-10,57.1704,12.1091,SHARK - National marine environmental monitoring of Harbour propoise in Sweden since 2015,MachineObservation,,,15,
000030ee-b841-4be4-b66a-67682ec51617,149_364,Megaptera novaeangliae,Megaptera novaeangliae,Humpback whale,1991-07-23T17:36,57.02095,-134.1619,"NMML Harbor Porpoise Vessel Survey, SE Alaska, Summer 1991",HumanObservation,1,,,
00003682-e9ad-4cbf-b68b-17ae10f54933,SWF_13_59394_1,Delphinus delphis,Delphinus delphis,Common dolphin,2021-07-16T17:15:00,57.60425,-6.962483,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present,HumanObservation,,,0,
00003aaf-5066-4090-bb6c-eda0ca9a2ef0,1404_79793,Delphinidae,,Dolphins,2012-06-04,44.07636,-5.38589,Observatoire Pelagis aerial surveys 2002-2021,HumanObservation,,,,
00003ec5-7708-4d4a-8fa7-785f66ca261d,25705_2022-04-22_06_Cetacean,Phocoena phocoena,Phocoena phocoena,Harbour porpoise,2022-04-22T06:00:00Z/2022-04-22T07:00:00Z,51.7047,2.8136,LifeWatch observatory data: permanent Cetacean passive acoustic sensor network in the Belgian Part of the North Sea,MachineObservation,,,26.0561959160699,
0000488f-f197-4dc8-8ba2-564f8514edf4,urn:catalog:HMAP:4:162390,Globicephala melas,Globicephala melas,,1950/1950,48,-53,,Occurrence,,,,
00004a18-5b47-40b0-bd5e-cec08cc618a1,1544027420_-1846277241_650385677,Cetacea,,Order: Whales and Dolphins,2018-12-10,47.8345,-52.7068,EC-CWS Eastern Canada Seabirds at Sea,HumanObservation,,,,
00004c28-e636-43ad-a68e-c1b7de1974fa,2324_87338,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2021-12-24T12:31:19,22.364756,-159.960969,Fin whales localized acoustic detections in Hawaiian waters 2017-2023,MachineObservation,,,,
