id,occurrenceID,scientificName,species,vernacularName,eventDate,decimalLatitude,decimalLongitude,datasetName,basisOfRecord,individualCount,coordinateUncertaintyInMeters,depth,sst
mock-4207-268,mock-occ-4207-268,Megaptera novaeangliae,Megaptera novaeangliae,Humpback whale,2026-04-26T04:24:39.537879Z,33.902083,-117.940208,BlueGuard Synthetic Recent Whale Feed,HumanObservation,2,400,22,15.94
mock-4207-62,mock-occ-4207-62,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2026-04-26T04:14:39.737852Z,33.506291,-118.992989,BlueGuard Synthetic Recent Whale Feed,HumanObservation,2,120,92,16.72
mock-4207-38,mock-occ-4207-38,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2026-04-26T03:22:28.843042Z,33.519655,-118.927728,BlueGuard Synthetic Recent Whale Feed,HumanObservation,1,400,22,17.29
mock-4207-242,mock-occ-4207-242,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2026-04-26T02:41:19.763358Z,33.213753,-116.871007,BlueGuard Synthetic Recent Whale Feed,HumanObservation,2,400,41,13.83
mock-4207-178,mock-occ-4207-178,Physeter macrocephalus,Physeter macrocephalus,Sperm whale,2026-04-26T02:33:01.848678Z,34.000168,-117.876125,BlueGuard Synthetic Recent Whale Feed,HumanObservation,2,80,58,16.41
mock-4207-52,mock-occ-4207-52,Megaptera novaeangliae,Megaptera novaeangliae,Humpback whale,2026-04-26T01:50:55.121557Z,33.843622,-117.797903,BlueGuard Synthetic Recent Whale Feed,HumanObservation,1,80,41,14.72
mock-4207-98,mock-occ-4207-98,Balaenoptera musculus,Balaenoptera musculus,Blue whale,2026-04-26T00:48:44.368208Z,34.101461,-119.556475,BlueGuard Synthetic Recent Whale Feed,HumanObservation,1,400,22,14.4
mock-4207-234,mock-occ-4207-234,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2026-04-26T00:22:03.396970Z,33.176361,-117.401557,BlueGuard Synthetic Recent Whale Feed,HumanObservation,1,120,22,17.64
mock-4207-46,mock-occ-4207-46,Balaenoptera physalus,Balaenoptera physalus,Fin whale,2026-04-25T23:26:10.752046Z,33.937385,-117.70833,BlueGuard Synthetic Recent Whale Feed,HumanObservation,3,80,58,13.45
mock-4207-77,mock-occ-4207-77,Balaenoptera musculus,Balaenoptera musculus,Blue whale,2026-04-25T23:26:09.594667Z,34.32465,-116.475951,BlueGuard Synthetic Recent Whale Feed,HumanObservation,1,80,58,17.21
mock-4207-282,mock-occ-4207-282,Eschrichtius robustus,Eschrichtius robustus,Gray whale,2026-04-25T23:03:51.519462Z,34.302399,-116.446883,BlueGuard Synthetic Recent Whale Feed,HumanObservation,2,400,64,14.41
mock-4207-251,mock-occ-4207-251,Megaptera novaeangliae,Megaptera novaeangliae,Humpback whale,2026-04-25T22:55:19.528541Z,34.365877,-116.6718,BlueGuard Synthetic Recent Whale Feed,HumanObservation,1,180,64,14.35
mock-4207-314,mock-occ-4207-314,Eschrichtius robustus,Eschrichtius robustus,Gray whale,2026-04-25T22:54:21.799763Z,33.31774,-116.54762,BlueGuard Synthetic Recent Whale Feed,HumanObservation,1,80,70,16.86
mock-4207-89,mock-occ-4207-89,Balaenoptera musculus,Balaenoptera musculus,Blue whale,2026-04-25T22:15:09.086741Z,33.052442,-116.972481,BlueGuard Synthetic Recent Whale Feed,HumanObservation,2,400,35,16.82
